N,time(tics),time(secs)
522,2.976000e-003,7.048000e-004
523,1.352000e-003,6.984000e-004
524,1.472600e-003,6.967000e-004
525,1.348000e-003,7.067000e-004
526,2.237600e-003,6.998000e-004
527,1.354800e-003,7.141000e-004
528,1.635300e-003,7.160000e-004
529,1.632800e-003,7.215000e-004
530,2.134500e-003,7.146000e-004
531,1.145600e-003,7.254000e-004
532,1.470600e-003,7.229000e-004
533,2.042500e-003,7.194000e-004
534,1.343600e-003,7.264000e-004
535,9.788000e-004,7.296000e-004
536,1.714100e-003,7.318000e-004
537,1.312500e-003,7.307000e-004
538,1.412100e-003,7.407000e-004
539,1.230200e-003,7.406000e-004
540,2.573200e-003,7.472000e-004
541,1.402400e-003,7.469000e-004
542,1.574200e-003,7.456000e-004
543,1.427200e-003,7.525000e-004
544,2.191500e-003,7.533000e-004
545,2.303900e-003,7.610000e-004
546,1.197900e-003,7.630000e-004
547,1.483200e-003,7.619000e-004
548,1.254100e-003,7.669000e-004
549,1.686600e-003,7.702000e-004
550,1.369300e-003,7.703000e-004
551,5.631600e-003,7.758000e-004
552,1.590200e-003,7.753000e-004
553,1.562300e-003,7.769000e-004
554,1.619600e-003,7.839000e-004
555,1.572500e-003,7.778000e-004
556,1.592200e-003,7.812000e-004
557,1.413500e-003,7.880000e-004
558,1.751700e-003,7.914000e-004
559,1.650100e-003,7.927000e-004
560,1.994200e-003,8.017000e-004
561,3.720400e-003,8.010000e-004
562,3.648700e-003,7.996000e-004
563,3.377800e-003,8.098000e-004
564,3.965000e-003,8.189000e-004
565,6.219800e-003,8.256000e-004
566,2.203200e-003,8.102000e-004
567,1.513200e-003,8.193000e-004
568,1.737600e-003,8.142000e-004
569,1.440700e-003,8.181000e-004
570,1.310600e-003,8.189000e-004
571,1.567600e-003,8.283000e-004
572,1.355400e-003,8.367000e-004
573,1.616500e-003,8.347000e-004
574,1.602500e-003,8.399000e-004
575,1.563600e-003,8.355000e-004
576,1.646300e-003,8.389000e-004
577,1.384400e-003,8.388000e-004
578,1.387700e-003,8.495000e-004
579,1.623200e-003,8.469000e-004
580,1.459100e-003,8.460000e-004
581,1.682100e-003,8.529000e-004
582,1.600200e-003,8.610000e-004
583,1.324800e-003,8.602000e-004
584,1.477300e-003,8.611000e-004
585,1.476000e-003,8.617000e-004
586,1.783000e-003,8.719000e-004
587,1.811100e-003,8.744000e-004
588,1.309200e-003,8.649000e-004
589,1.373900e-003,8.792000e-004
590,1.818300e-003,8.806000e-004
591,1.719900e-003,8.829000e-004
592,1.862800e-003,8.851000e-004
593,1.364300e-003,8.821000e-004
594,1.504000e-003,8.844000e-004
595,1.885300e-003,8.960000e-004
596,1.606100e-003,8.976000e-004
597,1.738100e-003,9.025000e-004
598,1.561700e-003,8.951000e-004
599,1.373500e-003,9.091000e-004
600,1.489800e-003,9.117000e-004
601,1.691900e-003,9.109000e-004
602,1.643600e-003,9.098000e-004
603,1.451900e-003,9.131000e-004
604,1.706500e-003,9.112000e-004
605,1.825300e-003,9.161000e-004
606,1.717600e-003,9.285000e-004
607,1.704500e-003,9.350000e-004
608,1.926800e-003,9.300000e-004
609,1.737100e-003,9.338000e-004
610,1.557400e-003,9.421000e-004
611,1.731500e-003,9.347000e-004
612,1.724800e-003,9.312000e-004
613,1.487200e-003,9.473000e-004
614,1.689100e-003,9.593000e-004
615,1.871000e-003,9.570000e-004
616,1.882500e-003,9.527000e-004
617,1.446700e-003,9.502000e-004
618,1.672200e-003,9.599000e-004
619,1.682300e-003,9.603000e-004
620,1.699100e-003,9.715000e-004
621,1.577300e-003,9.743000e-004
622,1.936500e-003,9.757000e-004
623,1.361600e-003,9.778000e-004
624,1.421300e-003,9.842000e-004
625,1.941400e-003,9.771000e-004
626,1.584200e-003,9.853000e-004
627,1.608600e-003,9.888000e-004
628,1.667500e-003,9.918000e-004
629,1.499600e-003,9.905000e-004
630,1.445500e-003,9.924000e-004
631,1.518900e-003,9.990000e-004
632,2.015200e-003,1.000500e-003
633,1.990200e-003,1.007400e-003
634,1.715300e-003,1.010600e-003
635,2.038700e-003,1.010300e-003
636,1.942500e-003,1.008900e-003
637,1.627700e-003,1.025800e-003
638,2.235900e-003,1.030100e-003
639,2.269400e-003,1.032300e-003
640,1.753300e-003,1.022500e-003
641,1.925900e-003,1.024800e-003
642,1.863900e-003,1.032100e-003
643,1.807400e-003,1.037700e-003
644,1.761400e-003,1.042300e-003
645,1.594600e-003,1.039500e-003
646,1.811200e-003,1.050900e-003
647,1.765300e-003,1.044500e-003
648,1.711100e-003,1.062600e-003
649,2.123100e-003,1.066100e-003
650,1.610600e-003,1.058500e-003
651,1.731100e-003,1.069400e-003
652,1.532200e-003,1.061000e-003
653,2.000000e-003,1.067100e-003
654,1.945200e-003,1.074900e-003
655,1.764500e-003,1.072600e-003
656,1.831100e-003,1.076300e-003
657,2.083200e-003,1.074100e-003
658,3.401900e-003,1.074600e-003
659,1.698000e-003,1.095700e-003
660,2.002900e-003,1.094200e-003
661,1.890400e-003,1.097200e-003
662,1.838200e-003,1.091300e-003
663,2.073500e-003,1.098200e-003
664,1.778900e-003,1.106400e-003
665,2.070900e-003,1.107800e-003
666,1.869300e-003,1.115500e-003
667,1.939500e-003,1.111500e-003
668,2.188100e-003,1.115300e-003
669,1.955200e-003,1.111300e-003
670,1.749900e-003,1.124000e-003
671,2.131600e-003,1.122000e-003
672,1.786700e-003,1.132800e-003
673,1.927900e-003,1.126400e-003
674,1.726900e-003,1.134000e-003
675,2.554800e-003,1.143400e-003
676,2.034600e-003,1.147100e-003
677,1.725500e-003,1.144800e-003
678,1.640400e-003,1.152000e-003
679,1.958400e-003,1.137200e-003
680,2.147300e-003,1.149400e-003
681,1.862900e-003,1.155900e-003
682,2.063200e-003,1.154100e-003
683,2.010800e-003,1.153800e-003
684,1.663600e-003,1.166200e-003
685,1.969400e-003,1.163700e-003
686,1.968000e-003,1.174700e-003
687,1.792000e-003,1.182000e-003
688,1.807000e-003,1.179300e-003
689,1.950000e-003,1.185800e-003
690,1.978200e-003,1.182700e-003
691,1.879900e-003,1.200100e-003
692,2.105900e-003,1.187600e-003
693,1.864600e-003,1.196700e-003
694,1.826300e-003,1.188300e-003
695,1.847700e-003,1.208800e-003
696,2.029600e-003,1.202200e-003
697,1.764500e-003,1.217400e-003
698,1.860500e-003,1.210800e-003
699,2.453800e-003,1.210400e-003
700,1.764100e-003,1.223500e-003
701,2.248700e-003,1.222700e-003
702,2.230500e-003,1.228100e-003
703,1.897300e-003,1.233800e-003
704,1.758400e-003,1.240200e-003
705,2.343900e-003,1.240500e-003
706,1.898100e-003,1.241900e-003
707,2.093500e-003,1.250100e-003
708,1.747100e-003,1.250900e-003
709,1.975500e-003,1.251800e-003
710,2.254700e-003,1.253400e-003
711,2.418300e-003,1.268100e-003
712,1.839100e-003,1.263700e-003
713,2.411600e-003,1.262500e-003
714,2.373900e-003,1.263500e-003
715,2.064000e-003,1.272800e-003
716,2.424200e-003,1.282800e-003
717,1.931800e-003,1.285700e-003
718,2.020700e-003,1.281200e-003
719,2.018100e-003,1.286200e-003
720,2.537500e-003,1.293300e-003
721,2.142400e-003,1.278800e-003
722,1.779000e-003,1.284700e-003
723,2.098100e-003,1.300600e-003
724,2.084100e-003,1.295000e-003
725,2.059600e-003,1.305900e-003
726,2.443600e-003,1.310300e-003
727,2.046200e-003,1.319600e-003
728,2.707400e-003,1.318400e-003
729,2.520500e-003,1.322800e-003
730,2.737300e-003,1.328300e-003
731,2.193600e-003,1.326900e-003
732,2.252900e-003,1.325100e-003
733,2.497700e-003,1.333800e-003
734,2.164800e-003,1.337700e-003
735,2.048800e-003,1.341300e-003
736,2.388200e-003,1.333900e-003
737,2.948200e-003,1.338700e-003
738,1.892300e-003,1.349000e-003
739,2.067500e-003,1.349300e-003
740,2.496900e-003,1.369300e-003
741,2.202300e-003,1.362500e-003
742,2.065100e-003,1.366500e-003
743,2.190200e-003,1.365900e-003
744,2.369300e-003,1.371500e-003
745,2.329500e-003,1.382400e-003
746,2.891300e-003,1.400100e-003
747,2.931600e-003,1.388100e-003
748,2.526800e-003,1.398000e-003
749,2.886100e-003,1.394300e-003
750,2.945200e-003,1.400500e-003
751,2.205100e-003,1.397000e-003
752,2.374000e-003,1.401100e-003
753,2.607700e-003,1.406600e-003
754,2.087400e-003,1.406300e-003
755,2.461300e-003,1.411800e-003
756,2.546300e-003,1.411400e-003
757,2.551000e-003,1.419900e-003
758,2.503300e-003,1.422900e-003
759,2.398100e-003,1.427300e-003
760,2.430200e-003,1.424800e-003
761,2.084900e-003,1.434700e-003
762,1.872100e-003,1.445900e-003
763,2.961500e-003,1.435900e-003
764,3.075300e-003,1.444900e-003
765,2.705100e-003,1.461800e-003
766,2.145500e-003,1.449500e-003
767,2.313000e-003,1.450300e-003
768,3.767800e-003,1.448400e-003
769,3.204500e-003,1.475100e-003
770,2.884500e-003,1.492400e-003
771,3.199100e-003,1.486600e-003
772,3.005400e-003,1.502400e-003
773,2.977000e-003,1.493700e-003
774,2.560200e-003,1.471800e-003
